family,scenario,field,segment,binning,k,share,cumulative_share
Gray-Scott reaction-diffusion,bubbles,A,full,radial,29,0.0005824312994637157,0.996506820236822
Gray-Scott reaction-diffusion,bubbles,A,full,radial,30,0.00030604169255677994,0.9968128619293788
Gray-Scott reaction-diffusion,bubbles,A,full,radial,31,0.00025752713426562847,0.9970703890636444
Gray-Scott reaction-diffusion,bubbles,A,full,radial,32,0.0001901943857789996,0.9972605834494234
Gray-Scott reaction-diffusion,bubbles,A,full,radial,33,0.0001768953075474462,0.9974374787569709
Gray-Scott reaction-diffusion,bubbles,A,full,radial,34,0.00018411263979121063,0.9976215913967621
Gray-Scott reaction-diffusion,bubbles,A,full,radial,35,0.0001561241803520685,0.9977777155771141
Gray-Scott reaction-diffusion,bubbles,A,full,radial,36,0.00018311670496699278,0.9979608322820812
Gray-Scott reaction-diffusion,bubbles,A,full,radial,37,0.00016587351549967463,0.9981267057975809
Gray-Scott reaction-diffusion,bubbles,A,full,radial,38,0.00018826468846477233,0.9983149704860456
Gray-Scott reaction-diffusion,bubbles,A,full,radial,39,0.00016974014524054223,0.9984847106312861
Gray-Scott reaction-diffusion,bubbles,A,full,radial,40,0.00015974261977792136,0.998644453251064
Gray-Scott reaction-diffusion,bubbles,A,full,radial,41,0.00016686963030657954,0.9988113228813705
Gray-Scott reaction-diffusion,bubbles,A,full,radial,42,0.00014660536344701975,0.9989579282448176
Gray-Scott reaction-diffusion,bubbles,A,full,radial,43,0.00014350338607835772,0.9991014316308959
Gray-Scott reaction-diffusion,bubbles,A,full,radial,44,0.00012138605668152206,0.9992228176875775
Gray-Scott reaction-diffusion,bubbles,A,full,radial,45,0.00012121257973722435,0.9993440302673148
Gray-Scott reaction-diffusion,bubbles,A,full,radial,46,0.00010632456535681493,0.9994503548326715
Gray-Scott reaction-diffusion,bubbles,A,full,radial,47,8.860118305153162e-05,0.9995389560157231
Gray-Scott reaction-diffusion,bubbles,A,full,radial,48,7.846340430541288e-05,0.9996174194200286
Gray-Scott reaction-diffusion,bubbles,A,full,radial,49,6.556016778061742e-05,0.9996829795878092
Gray-Scott reaction-diffusion,bubbles,A,full,radial,50,6.56104007682451e-05,0.9997485899885774
Gray-Scott reaction-diffusion,bubbles,A,full,radial,51,4.770298570886176e-05,0.9997962929742862
Gray-Scott reaction-diffusion,bubbles,A,full,radial,52,3.513361891030322e-05,0.9998314265931966
Gray-Scott reaction-diffusion,bubbles,A,full,radial,53,3.303202630628188e-05,0.9998644586195028
Gray-Scott reaction-diffusion,bubbles,A,full,radial,54,2.659136152553437e-05,0.9998910499810283
Gray-Scott reaction-diffusion,bubbles,A,full,radial,55,2.3357338006106838e-05,0.9999144073190345
Gray-Scott reaction-diffusion,bubbles,A,full,radial,56,1.7378456923396284e-05,0.9999317857759579
Gray-Scott reaction-diffusion,bubbles,A,full,radial,57,1.4150759613428583e-05,0.9999459365355714
Gray-Scott reaction-diffusion,bubbles,A,full,radial,58,1.1358640226908632e-05,0.9999572951757983
Gray-Scott reaction-diffusion,bubbles,A,full,radial,59,9.365922044106649e-06,0.9999666610978425
Gray-Scott reaction-diffusion,bubbles,A,full,radial,60,7.576227282979955e-06,0.9999742373251255
Gray-Scott reaction-diffusion,bubbles,A,full,radial,61,6.010795318584428e-06,0.9999802481204441
Gray-Scott reaction-diffusion,bubbles,A,full,radial,62,5.305314877113468e-06,0.9999855534353213
Gray-Scott reaction-diffusion,bubbles,A,full,radial,63,4.311819339782668e-06,0.999989865254661
Gray-Scott reaction-diffusion,bubbles,A,full,radial,64,3.071076463852787e-06,0.9999929363311248
Gray-Scott reaction-diffusion,bubbles,A,full,radial,65,2.210826244933709e-06,0.9999951471573698
Gray-Scott reaction-diffusion,bubbles,A,full,radial,66,1.307546198544976e-06,0.9999964547035685
Gray-Scott reaction-diffusion,bubbles,A,full,radial,67,1.0520260970353852e-06,0.9999975067296655
Gray-Scott reaction-diffusion,bubbles,A,full,radial,68,8.319758570487551e-07,0.9999983387055226
Gray-Scott reaction-diffusion,bubbles,A,full,radial,69,5.867451368304205e-07,0.9999989254506594
Gray-Scott reaction-diffusion,bubbles,A,full,radial,70,3.101592247549878e-07,0.9999992356098841
Gray-Scott reaction-diffusion,bubbles,A,full,radial,71,3.079811994390458e-07,0.9999995435910836
Gray-Scott reaction-diffusion,bubbles,A,full,radial,72,2.1228086307381463e-07,0.9999997558719466
Gray-Scott reaction-diffusion,bubbles,A,full,radial,73,1.3491836040204747e-07,0.9999998907903069
Gray-Scott reaction-diffusion,bubbles,A,full,radial,74,7.273871740279895e-08,0.9999999635290243
Gray-Scott reaction-diffusion,bubbles,A,full,radial,75,2.563386313632575e-08,0.9999999891628875
Gray-Scott reaction-diffusion,bubbles,A,full,radial,76,1.0837111542231528e-08,0.999999999999999
Gray-Scott reaction-diffusion,bubbles,A,full,radial,77,2.3748412842327645e-16,0.9999999999999993
Gray-Scott reaction-diffusion,bubbles,A,full,radial,78,1.7402788234620035e-16,0.9999999999999994
Gray-Scott reaction-diffusion,bubbles,A,full,radial,79,1.8369495179293692e-16,0.9999999999999996
Gray-Scott reaction-diffusion,bubbles,A,full,radial,80,1.5245227162812938e-16,0.9999999999999998
Gray-Scott reaction-diffusion,bubbles,A,full,radial,81,1.150473455322e-16,0.9999999999999999
Gray-Scott reaction-diffusion,bubbles,A,full,radial,82,1.593614746393313e-16,1.0
Gray-Scott reaction-diffusion,bubbles,A,full,radial,83,7.639476560494585e-17,1.0000000000000002
Gray-Scott reaction-diffusion,bubbles,A,full,radial,84,1.1220101236067365e-16,1.0000000000000002
Gray-Scott reaction-diffusion,bubbles,A,full,radial,85,5.91303388503402e-17,1.0000000000000002
Gray-Scott reaction-diffusion,bubbles,A,full,radial,86,5.842359278617134e-17,1.0000000000000002
Gray-Scott reaction-diffusion,bubbles,A,full,radial,87,5.0842514353280805e-17,1.0000000000000002
Gray-Scott reaction-diffusion,bubbles,A,full,radial,88,2.2075051531106038e-17,1.0000000000000002
Gray-Scott reaction-diffusion,bubbles,A,full,radial,89,2.125787588028979e-17,1.0000000000000002
Gray-Scott reaction-diffusion,bubbles,A,full,radial,90,2.112464990669776e-18,1.0000000000000002
Gray-Scott reaction-diffusion,bubbles,A,full,box,1,0.017640770542606425,0.017640770542606425
Gray-Scott reaction-diffusion,bubbles,A,full,box,2,0.049385288510416604,0.06702605905302303
Gray-Scott reaction-diffusion,bubbles,A,full,box,3,0.08104460144637066,0.14807066049939369
Gray-Scott reaction-diffusion,bubbles,A,full,box,4,0.07153805420056501,0.21960871469995868
Gray-Scott reaction-diffusion,bubbles,A,full,box,5,0.12256552843000527,0.342174243129964
Gray-Scott reaction-diffusion,bubbles,A,full,box,6,0.08892504905450385,0.4310992921844678
Gray-Scott reaction-diffusion,bubbles,A,full,box,7,0.09476345313113092,0.5258627453155987
Gray-Scott reaction-diffusion,bubbles,A,full,box,8,0.08463163254517488,0.6104943778607735
Gray-Scott reaction-diffusion,bubbles,A,full,box,9,0.07614841847673005,0.6866427963375037
Gray-Scott reaction-diffusion,bubbles,A,full,box,10,0.06661682932443941,0.7532596256619432
Gray-Scott reaction-diffusion,bubbles,A,full,box,11,0.04502468709386579,0.7982843127558089
Gray-Scott reaction-diffusion,bubbles,A,full,box,12,0.03913677408008208,0.837421086835891
Gray-Scott reaction-diffusion,bubbles,A,full,box,13,0.032130827679864894,0.8695519145157559
Gray-Scott reaction-diffusion,bubbles,A,full,box,14,0.032615413668108696,0.9021673281838646
Gray-Scott reaction-diffusion,bubbles,A,full,box,15,0.023296122108412115,0.9254634502922766
Gray-Scott reaction-diffusion,bubbles,A,full,box,16,0.017906455784570518,0.9433699060768471
Gray-Scott reaction-diffusion,bubbles,A,full,box,17,0.012662202714995028,0.9560321087918422
Gray-Scott reaction-diffusion,bubbles,A,full,box,18,0.010699570197249007,0.9667316789890912
Gray-Scott reaction-diffusion,bubbles,A,full,box,19,0.008985038426430364,0.9757167174155215
Gray-Scott reaction-diffusion,bubbles,A,full,box,20,0.006450906927701549,0.9821676243432231
Gray-Scott reaction-diffusion,bubbles,A,full,box,21,0.004538662902899525,0.9867062872461225
Gray-Scott reaction-diffusion,bubbles,A,full,box,22,0.0032084715584383542,0.9899147588045609
Gray-Scott reaction-diffusion,bubbles,A,full,box,23,0.0023393958901666073,0.9922541546947276
Gray-Scott reaction-diffusion,bubbles,A,full,box,24,0.0016024089359147381,0.9938565636306422
Gray-Scott reaction-diffusion,bubbles,A,full,box,25,0.001237642324436629,0.9950942059550789
Gray-Scott reaction-diffusion,bubbles,A,full,box,26,0.0008432518633564157,0.9959374578184353
Gray-Scott reaction-diffusion,bubbles,A,full,box,27,0.0005251468465444969,0.9964626046649798
Gray-Scott reaction-diffusion,bubbles,A,full,box,28,0.000412143273027007,0.9968747479380068
Gray-Scott reaction-diffusion,bubbles,A,full,box,29,0.0003083069497995435,0.9971830548878062
Gray-Scott reaction-diffusion,bubbles,A,full,box,30,0.00022392265883322635,0.9974069775466395
Gray-Scott reaction-diffusion,bubbles,A,full,box,31,0.00021753106530451077,0.997624508611944
Gray-Scott reaction-diffusion,bubbles,A,full,box,32,0.00021000190652977805,0.9978345105184737
Gray-Scott reaction-diffusion,bubbles,A,full,box,33,0.00017868649039036355,0.998013197008864
Gray-Scott reaction-diffusion,bubbles,A,full,box,34,0.00018387925599865497,0.9981970762648626
Gray-Scott reaction-diffusion,bubbles,A,full,box,35,0.00017060993063391992,0.9983676861954965
Gray-Scott reaction-diffusion,bubbles,A,full,box,36,0.00017744304297553446,0.9985451292384722
Gray-Scott reaction-diffusion,bubbles,A,full,box,37,0.00016141971475461394,0.9987065489532267
Gray-Scott reaction-diffusion,bubbles,A,full,box,38,0.00015684952217193221,0.9988633984753988
Gray-Scott reaction-diffusion,bubbles,A,full,box,39,0.00014760025441595668,0.9990109987298147
Gray-Scott reaction-diffusion,bubbles,A,full,box,40,0.00013821590269008803,0.9991492146325048
Gray-Scott reaction-diffusion,bubbles,A,full,box,41,0.00012072009445068857,0.9992699347269556
Gray-Scott reaction-diffusion,bubbles,A,full,box,42,9.818280437163239e-05,0.9993681175313271
Gray-Scott reaction-diffusion,bubbles,A,full,box,43,8.915630219061274e-05,0.9994572738335178
Gray-Scott reaction-diffusion,bubbles,A,full,box,44,8.670965301271842e-05,0.9995439834865305
Gray-Scott reaction-diffusion,bubbles,A,full,box,45,7.928723866762687e-05,0.9996232707251982
Gray-Scott reaction-diffusion,bubbles,A,full,box,46,6.352871472550575e-05,0.9996867994399237
Gray-Scott reaction-diffusion,bubbles,A,full,box,47,5.390325378475271e-05,0.9997407026937084
Gray-Scott reaction-diffusion,bubbles,A,full,box,48,4.664336336818804e-05,0.9997873460570768
Gray-Scott reaction-diffusion,bubbles,A,full,box,49,3.777545832277933e-05,0.9998251215153995
Gray-Scott reaction-diffusion,bubbles,A,full,box,50,3.400434927760388e-05,0.9998591258646772
Gray-Scott reaction-diffusion,bubbles,A,full,box,51,2.7679235220726185e-05,0.9998868050998979
Gray-Scott reaction-diffusion,bubbles,A,full,box,52,1.9769066509399696e-05,0.9999065741664074
Gray-Scott reaction-diffusion,bubbles,A,full,box,53,1.943225468952597e-05,0.999926006421097
Gray-Scott reaction-diffusion,bubbles,A,full,box,54,1.5167969683487553e-05,0.9999411743907803
Gray-Scott reaction-diffusion,bubbles,A,full,box,55,1.2013986772920702e-05,0.9999531883775533
Gray-Scott reaction-diffusion,bubbles,A,full,box,56,9.445487723936132e-06,0.9999626338652772
Gray-Scott reaction-diffusion,bubbles,A,full,box,57,7.677333521310702e-06,0.9999703111987985
Gray-Scott reaction-diffusion,bubbles,A,full,box,58,6.72384116434256e-06,0.9999770350399629
Gray-Scott reaction-diffusion,bubbles,A,full,box,59,5.796118819008109e-06,0.9999828311587818
Gray-Scott reaction-diffusion,bubbles,A,full,box,60,5.112630575507929e-06,0.9999879437893574
Gray-Scott reaction-diffusion,bubbles,A,full,box,61,3.8626094585199625e-06,0.9999918063988159
Gray-Scott reaction-diffusion,bubbles,A,full,box,62,3.6237085061827764e-06,0.9999954301073221
Gray-Scott reaction-diffusion,bubbles,A,full,box,63,3.1834158862654386e-06,0.9999986135232083
Gray-Scott reaction-diffusion,bubbles,A,full,box,64,1.3864767917149635e-06,1.0
Gray-Scott reaction-diffusion,bubbles,A,train,radial,1,0.03449653506089618,0.03449653506089618
Gray-Scott reaction-diffusion,bubbles,A,train,radial,2,0.09377612229381808,0.12827265735471427
Gray-Scott reaction-diffusion,bubbles,A,train,radial,3,0.11180581912078347,0.2400784764754977
Gray-Scott reaction-diffusion,bubbles,A,train,radial,4,0.07595622287819495,0.31603469935369266
Gray-Scott reaction-diffusion,bubbles,A,train,radial,5,0.15520953898972378,0.4712442383434165
Gray-Scott reaction-diffusion,bubbles,A,train,radial,6,0.10782545995448195,0.5790696982978984
Gray-Scott reaction-diffusion,bubbles,A,train,radial,7,0.10306059954945312,0.6821302978473516
Gray-Scott reaction-diffusion,bubbles,A,train,radial,8,0.06343301970377195,0.7455633175511236
Gray-Scott reaction-diffusion,bubbles,A,train,radial,9,0.06193107774461615,0.8074943952957399
Gray-Scott reaction-diffusion,bubbles,A,train,radial,10,0.0526790101114652,0.8601734054072051
Gray-Scott reaction-diffusion,bubbles,A,train,radial,11,0.02577310857257127,0.8859465139797764
Gray-Scott reaction-diffusion,bubbles,A,train,radial,12,0.024016531774974016,0.9099630457547504
Gray-Scott reaction-diffusion,bubbles,A,train,radial,13,0.017582259025284645,0.927545304780035
Gray-Scott reaction-diffusion,bubbles,A,train,radial,14,0.012228528054958256,0.9397738328349934
Gray-Scott reaction-diffusion,bubbles,A,train,radial,15,0.010190590921197853,0.9499644237561913
Gray-Scott reaction-diffusion,bubbles,A,train,radial,16,0.008464562014056267,0.9584289857702475
Gray-Scott reaction-diffusion,bubbles,A,train,radial,17,0.007243809902126843,0.9656727956723743
Gray-Scott reaction-diffusion,bubbles,A,train,radial,18,0.005661118022161139,0.9713339136945355
Gray-Scott reaction-diffusion,bubbles,A,train,radial,19,0.005417294623726802,0.9767512083182622
Gray-Scott reaction-diffusion,bubbles,A,train,radial,20,0.003856472339623061,0.9806076806578853
Gray-Scott reaction-diffusion,bubbles,A,train,radial,21,0.003577487602272307,0.9841851682601576
Gray-Scott reaction-diffusion,bubbles,A,train,radial,22,0.003052834589751095,0.9872380028499086
Gray-Scott reaction-diffusion,bubbles,A,train,radial,23,0.002183503339338831,0.9894215061892474
Gray-Scott reaction-diffusion,bubbles,A,train,radial,24,0.0018440767440220812,0.9912655829332694
Gray-Scott reaction-diffusion,bubbles,A,train,radial,25,0.001567322786387615,0.9928329057196571
Gray-Scott reaction-diffusion,bubbles,A,train,radial,26,0.0013425606410436808,0.9941754663607008
Gray-Scott reaction-diffusion,bubbles,A,train,radial,27,0.0009423812566701054,0.995117847617371
Gray-Scott reaction-diffusion,bubbles,A,train,radial,28,0.0007333709826265958,0.9958512185999975
Gray-Scott reaction-diffusion,bubbles,A,train,radial,29,0.0007490614646676937,0.9966002800646652
Gray-Scott reaction-diffusion,bubbles,A,train,radial,30,0.0005165590152007291,0.9971168390798658
Gray-Scott reaction-diffusion,bubbles,A,train,radial,31,0.0004634488601708793,0.9975802879400367
Gray-Scott reaction-diffusion,bubbles,A,train,radial,32,0.000380525213083668,0.9979608131531205
Gray-Scott reaction-diffusion,bubbles,A,train,radial,33,0.00030544458612110725,0.9982662577392416
Gray-Scott reaction-diffusion,bubbles,A,train,radial,34,0.0002799812491735414,0.9985462389884152
Gray-Scott reaction-diffusion,bubbles,A,train,radial,35,0.00020530154145286835,0.9987515405298681
Gray-Scott reaction-diffusion,bubbles,A,train,radial,36,0.00019796276599874874,0.9989495032958668
Gray-Scott reaction-diffusion,bubbles,A,train,radial,37,0.00015982710041858802,0.9991093303962855
Gray-Scott reaction-diffusion,bubbles,A,train,radial,38,0.00013710278016841924,0.999246433176454
Gray-Scott reaction-diffusion,bubbles,A,train,radial,39,0.00011481412866686334,0.9993612473051208
Gray-Scott reaction-diffusion,bubbles,A,train,radial,40,8.753193715162595e-05,0.9994487792422724
Gray-Scott reaction-diffusion,bubbles,A,train,radial,41,9.23450601300496e-05,0.9995411243024024
Gray-Scott reaction-diffusion,bubbles,A,train,radial,42,6.820335597999075e-05,0.9996093276583823
Gray-Scott reaction-diffusion,bubbles,A,train,radial,43,6.288251958273803e-05,0.999672210177965
Gray-Scott reaction-diffusion,bubbles,A,train,radial,44,5.161554787126926e-05,0.9997238257258363
Gray-Scott reaction-diffusion,bubbles,A,train,radial,45,4.023670019226014e-05,0.9997640624260287
Gray-Scott reaction-diffusion,bubbles,A,train,radial,46,3.664790891202312e-05,0.9998007103349406
Gray-Scott reaction-diffusion,bubbles,A,train,radial,47,3.029331719619265e-05,0.9998310036521367
Gray-Scott reaction-diffusion,bubbles,A,train,radial,48,2.768328616910561e-05,0.9998586869383059
Gray-Scott reaction-diffusion,bubbles,A,train,radial,49,2.302585778263363e-05,0.9998817127960886
Gray-Scott reaction-diffusion,bubbles,A,train,radial,50,2.0030307101715815e-05,0.9999017431031904
Gray-Scott reaction-diffusion,bubbles,A,train,radial,51,1.7220930845684368e-05,0.9999189640340361
Gray-Scott reaction-diffusion,bubbles,A,train,radial,52,1.1960087314817873e-05,0.999930924121351
Gray-Scott reaction-diffusion,bubbles,A,train,radial,53,1.1626349424671032e-05,0.9999425504707756
Gray-Scott reaction-diffusion,bubbles,A,train,radial,54,8.517145899699342e-06,0.9999510676166753
Gray-Scott reaction-diffusion,bubbles,A,train,radial,55,8.738462229504408e-06,0.9999598060789049
Gray-Scott reaction-diffusion,bubbles,A,train,radial,56,6.6901426702488715e-06,0.9999664962215751
Gray-Scott reaction-diffusion,bubbles,A,train,radial,57,5.7418498557723805e-06,0.999972238071431
Gray-Scott reaction-diffusion,bubbles,A,train,radial,58,5.088532227642674e-06,0.9999773266036586
Gray-Scott reaction-diffusion,bubbles,A,train,radial,59,4.346205551568059e-06,0.99998167280921
Gray-Scott reaction-diffusion,bubbles,A,train,radial,60,3.921194951324474e-06,0.9999855940041613
Gray-Scott reaction-diffusion,bubbles,A,train,radial,61,3.4377758022116143e-06,0.9999890317799636
Gray-Scott reaction-diffusion,bubbles,A,train,radial,62,2.6583298182329552e-06,0.9999916901097818
Gray-Scott reaction-diffusion,bubbles,A,train,radial,63,2.4925057105983017e-06,0.9999941826154924
Gray-Scott reaction-diffusion,bubbles,A,train,radial,64,1.7955731196623931e-06,0.9999959781886121
Gray-Scott reaction-diffusion,bubbles,A,train,radial,65,1.152073437564007e-06,0.9999971302620496
Gray-Scott reaction-diffusion,bubbles,A,train,radial,66,8.449331067798435e-07,0.9999979751951564
Gray-Scott reaction-diffusion,bubbles,A,train,radial,67,6.015814003169329e-07,0.9999985767765568
Gray-Scott reaction-diffusion,bubbles,A,train,radial,68,4.787902241364193e-07,0.9999990555667808
Gray-Scott reaction-diffusion,bubbles,A,train,radial,69,3.1667940428733937e-07,0.9999993722461852
Gray-Scott reaction-diffusion,bubbles,A,train,radial,70,2.076622838375894e-07,0.9999995799084691
Gray-Scott reaction-diffusion,bubbles,A,train,radial,71,1.6538277265040858e-07,0.9999997452912417
Gray-Scott reaction-diffusion,bubbles,A,train,radial,72,1.2224894143693392e-07,0.9999998675401832
Gray-Scott reaction-diffusion,bubbles,A,train,radial,73,7.047572731626961e-08,0.9999999380159105
Gray-Scott reaction-diffusion,bubbles,A,train,radial,74,4.3820092230418254e-08,0.9999999818360027
Gray-Scott reaction-diffusion,bubbles,A,train,radial,75,1.228884361203871e-08,0.9999999941248462
Gray-Scott reaction-diffusion,bubbles,A,train,radial,76,5.875153599837415e-09,0.9999999999999999
Gray-Scott reaction-diffusion,bubbles,A,train,radial,77,1.1352855415466154e-16,1.0
Gray-Scott reaction-diffusion,bubbles,A,train,radial,78,7.768183362576543e-17,1.0
Gray-Scott reaction-diffusion,bubbles,A,train,radial,79,8.417790619595868e-17,1.0000000000000002
Gray-Scott reaction-diffusion,bubbles,A,train,radial,80,7.202364173821589e-17,1.0000000000000002
Gray-Scott reaction-diffusion,bubbles,A,train,radial,81,5.35978341297967e-17,1.0000000000000002
Gray-Scott reaction-diffusion,bubbles,A,train,radial,82,7.378544170618835e-17,1.0000000000000002
Gray-Scott reaction-diffusion,bubbles,A,train,radial,83,3.8145151840412097e-17,1.0000000000000002
Gray-Scott reaction-diffusion,bubbles,A,train,radial,84,5.327368999650779e-17,1.0000000000000002
Gray-Scott reaction-diffusion,bubbles,A,train,radial,85,2.670244739039462e-17,1.0000000000000002
Gray-Scott reaction-diffusion,bubbles,A,train,radial,86,2.7201376352366602e-17,1.0000000000000002
Gray-Scott reaction-diffusion,bubbles,A,train,radial,87,2.2839995822476622e-17,1.0000000000000002
Gray-Scott reaction-diffusion,bubbles,A,train,radial,88,1.1308039140117834e-17,1.0000000000000002
Gray-Scott reaction-diffusion,bubbles,A,train,radial,89,1.0305205911183141e-17,1.0000000000000002
Gray-Scott reaction-diffusion,bubbles,A,train,radial,90,5.939967655757751e-19,1.0000000000000002
Gray-Scott reaction-diffusion,bubbles,A,train,box,1,0.03449653506089618,0.03449653506089618
Gray-Scott reaction-diffusion,bubbles,A,train,box,2,0.09377612229381808,0.12827265735471427
Gray-Scott reaction-diffusion,bubbles,A,train,box,3,0.1222303849450313,0.25050304229974557
Gray-Scott reaction-diffusion,bubbles,A,train,box,4,0.10302547315108394,0.3535285154508295
Gray-Scott reaction-diffusion,bubbles,A,train,box,5,0.1661700817251163,0.5196985971759458
Gray-Scott reaction-diffusion,bubbles,A,train,box,6,0.1001851799925755,0.6198837771685214
Gray-Scott reaction-diffusion,bubbles,A,train,box,7,0.09872994166178102,0.7186137188303025
Gray-Scott reaction-diffusion,bubbles,A,train,box,8,0.07098788699635596,0.7896016058266584
Gray-Scott reaction-diffusion,bubbles,A,train,box,9,0.05355916971844469,0.8431607755451032
Gray-Scott reaction-diffusion,bubbles,A,train,box,10,0.03851528845876782,0.8816760640038709
Gray-Scott reaction-diffusion,bubbles,A,train,box,11,0.023724689712896607,0.9054007537167675
Gray-Scott reaction-diffusion,bubbles,A,train,box,12,0.02089163313080568,0.9262923868475732
Gray-Scott reaction-diffusion,bubbles,A,train,box,13,0.01408703511391506,0.9403794219614884
Gray-Scott reaction-diffusion,bubbles,A,train,box,14,0.011582898520556729,0.9519623204820451
Gray-Scott reaction-diffusion,bubbles,A,train,box,15,0.008956970757081599,0.9609192912391267
Gray-Scott reaction-diffusion,bubbles,A,train,box,16,0.0072267827990488125,0.9681460740381755
Gray-Scott reaction-diffusion,bubbles,A,train,box,17,0.005951757952018015,0.9740978319901936
Gray-Scott reaction-diffusion,bubbles,A,train,box,18,0.004471856675286558,0.9785696886654801
Gray-Scott reaction-diffusion,bubbles,A,train,box,19,0.004595075927147748,0.9831647645926278
Gray-Scott reaction-diffusion,bubbles,A,train,box,20,0.0032369042215062566,0.9864016688141342
Gray-Scott reaction-diffusion,bubbles,A,train,box,21,0.0025717201894526827,0.9889733890035869
Gray-Scott reaction-diffusion,bubbles,A,train,box,22,0.0021530100501578097,0.9911263990537447
Gray-Scott reaction-diffusion,bubbles,A,train,box,23,0.0016389525690364386,0.9927653516227812
Gray-Scott reaction-diffusion,bubbles,A,train,box,24,0.0011971517666631223,0.9939625033894444
Gray-Scott reaction-diffusion,bubbles,A,train,box,25,0.0011647245225099247,0.9951272279119543
Gray-Scott reaction-diffusion,bubbles,A,train,box,26,0.0009067543587057807,0.99603398227066
Gray-Scott reaction-diffusion,bubbles,A,train,box,27,0.0006749134132746621,0.9967088956839347
Gray-Scott reaction-diffusion,bubbles,A,train,box,28,0.0005699552380557269,0.9972788509219905
Gray-Scott reaction-diffusion,bubbles,A,train,box,29,0.0004752071599239496,0.9977540580819145
Gray-Scott reaction-diffusion,bubbles,A,train,box,30,0.0003799080518383869,0.9981339661337528
Gray-Scott reaction-diffusion,bubbles,A,train,box,31,0.0002996089098758872,0.9984335750436287
Gray-Scott reaction-diffusion,bubbles,A,train,box,32,0.0002534956486369816,0.9986870706922657
Gray-Scott reaction-diffusion,bubbles,A,train,box,33,0.0002001236035287284,0.9988871942957943
Gray-Scott reaction-diffusion,bubbles,A,train,box,34,0.00018116559679330236,0.9990683598925877
Gray-Scott reaction-diffusion,bubbles,A,train,box,35,0.00015226541145491656,0.9992206253040425
Gray-Scott reaction-diffusion,bubbles,A,train,box,36,0.00011832999654564803,0.9993389553005881
Gray-Scott reaction-diffusion,bubbles,A,train,box,37,0.00010805541485816389,0.9994470107154464
Gray-Scott reaction-diffusion,bubbles,A,train,box,38,8.548140750305917e-05,0.9995324921229494
Gray-Scott reaction-diffusion,bubbles,A,train,box,39,7.798767379432361e-05,0.9996104797967438
Gray-Scott reaction-diffusion,bubbles,A,train,box,40,6.195755472620799e-05,0.99967243735147
Gray-Scott reaction-diffusion,bubbles,A,train,box,41,5.4170709061902344e-05,0.9997266080605318
Gray-Scott reaction-diffusion,bubbles,A,train,box,42,4.431363468602436e-05,0.999770921695218
