ic,band,window,n_time,omega,k,label,period_steps,share
IC36,tropics,hann,3024,-15,0,annual x5,201.6,3.7456054952385756e-05
IC36,tropics,hann,3024,-12,0,annual x4,252.0,4.865305184584139e-05
IC36,tropics,hann,3024,-9,0,annual x3,336.0,0.00010236403350534509
IC36,tropics,hann,3024,-6,0,annual x2,504.0,0.00011340461531100378
IC36,tropics,hann,3024,-3,0,annual,1008.0,0.00032525598432044984
IC36,tropics,hann,3024,3,0,annual,1008.0,0.00032525598432045006
IC36,tropics,hann,3024,6,0,annual x2,504.0,0.00011340461531100378
IC36,tropics,hann,3024,9,0,annual x3,336.0,0.00010236403350534506
IC36,tropics,hann,3024,12,0,annual x4,252.0,4.8653051845841405e-05
IC36,tropics,hann,3024,15,0,annual x5,201.6,3.745605495238581e-05
IC36,tropics,hann,3024,18,0,annual x6,168.0,2.5162963888090235e-05
IC36,tropics,hann,3024,126,-1,diurnal,24.0,0.004960144377065107
IC36,tropics,hann,3024,252,-2,diurnal x2,12.0,8.08138886639057e-10
IC36,tropics,hann,3024,378,-3,diurnal x3,8.0,4.5918754517280813e-10
IC36,tropics,hann,3024,504,-4,diurnal x4,6.0,1.5282912562987843e-10
IC36,midlat_N,boxcar,3024,-504,4,diurnal x4,6.0,5.519920368108375e-09
IC36,midlat_N,boxcar,3024,-378,3,diurnal x3,8.0,1.7381735122329717e-08
IC36,midlat_N,boxcar,3024,-252,2,diurnal x2,12.0,1.0168936132597118e-07
IC36,midlat_N,boxcar,3024,-126,1,diurnal,24.0,0.0002951406247119841
IC36,midlat_N,boxcar,3024,-18,0,annual x6,168.0,0.00066724027938817
IC36,midlat_N,boxcar,3024,-15,0,annual x5,201.6,0.0008125206976764265
IC36,midlat_N,boxcar,3024,-12,0,annual x4,252.0,0.0006870336166297109
IC36,midlat_N,boxcar,3024,-9,0,annual x3,336.0,0.004006615218280272
IC36,midlat_N,boxcar,3024,-6,0,annual x2,504.0,0.00390372601116834
IC36,midlat_N,boxcar,3024,-3,0,annual,1008.0,0.014693979291903893
IC36,midlat_N,boxcar,3024,3,0,annual,1008.0,0.014693979291903895
IC36,midlat_N,boxcar,3024,6,0,annual x2,504.0,0.0039037260111683407
IC36,midlat_N,boxcar,3024,9,0,annual x3,336.0,0.004006615218280273
IC36,midlat_N,boxcar,3024,12,0,annual x4,252.0,0.0006870336166297109
IC36,midlat_N,boxcar,3024,15,0,annual x5,201.6,0.0008125206976764272
IC36,midlat_N,boxcar,3024,18,0,annual x6,168.0,0.0006672402793881701
IC36,midlat_N,boxcar,3024,126,-1,diurnal,24.0,0.0002951406247119842
IC36,midlat_N,boxcar,3024,252,-2,diurnal x2,12.0,1.0168936132597105e-07
IC36,midlat_N,boxcar,3024,378,-3,diurnal x3,8.0,1.7381735122329625e-08
IC36,midlat_N,boxcar,3024,504,-4,diurnal x4,6.0,5.519920368108339e-09
IC36,midlat_N,hann,3024,-504,4,diurnal x4,6.0,1.397524400384687e-10
IC36,midlat_N,hann,3024,-378,3,diurnal x3,8.0,5.464922717505878e-11
IC36,midlat_N,hann,3024,-252,2,diurnal x2,12.0,3.1203406175424297e-10
IC36,midlat_N,hann,3024,-126,1,diurnal,24.0,0.00036147058796272177
IC36,midlat_N,hann,3024,-18,0,annual x6,168.0,9.976688395747684e-05
IC36,midlat_N,hann,3024,-15,0,annual x5,201.6,0.00015923393490668324
IC36,midlat_N,hann,3024,-12,0,annual x4,252.0,0.00010923327207992622
IC36,midlat_N,hann,3024,-9,0,annual x3,336.0,0.00035266700777133975
IC36,midlat_N,hann,3024,-6,0,annual x2,504.0,0.00011659024136935054
IC36,midlat_N,hann,3024,-3,0,annual,1008.0,0.001084309300422475
IC36,midlat_N,hann,3024,3,0,annual,1008.0,0.0010843093004224752
IC36,midlat_N,hann,3024,6,0,annual x2,504.0,0.0001165902413693506
IC36,midlat_N,hann,3024,9,0,annual x3,336.0,0.00035266700777133975
IC36,midlat_N,hann,3024,12,0,annual x4,252.0,0.00010923327207992622
IC36,midlat_N,hann,3024,15,0,annual x5,201.6,0.00015923393490668332
IC36,midlat_N,hann,3024,18,0,annual x6,168.0,9.97668839574769e-05
IC36,midlat_N,hann,3024,126,-1,diurnal,24.0,0.00036147058796272193
IC36,midlat_N,hann,3024,252,-2,diurnal x2,12.0,3.1203406175423853e-10
IC36,midlat_N,hann,3024,378,-3,diurnal x3,8.0,5.4649227175054514e-11
IC36,midlat_N,hann,3024,504,-4,diurnal x4,6.0,1.3975244003847126e-10
IC36,midlat_S,boxcar,3024,-504,4,diurnal x4,6.0,2.4500294718053006e-10
IC36,midlat_S,boxcar,3024,-378,3,diurnal x3,8.0,8.562172572194515e-09
IC36,midlat_S,boxcar,3024,-252,2,diurnal x2,12.0,3.2045819443152424e-08
IC36,midlat_S,boxcar,3024,-126,1,diurnal,24.0,0.0005860100590541579
IC36,midlat_S,boxcar,3024,-18,0,annual x6,168.0,9.070041824037175e-05
IC36,midlat_S,boxcar,3024,-15,0,annual x5,201.6,0.0002000457827361701
IC36,midlat_S,boxcar,3024,-12,0,annual x4,252.0,6.355669892016408e-05
IC36,midlat_S,boxcar,3024,-9,0,annual x3,336.0,0.00022431896042484956
IC36,midlat_S,boxcar,3024,-6,0,annual x2,504.0,0.0002807222247047037
IC36,midlat_S,boxcar,3024,-3,0,annual,1008.0,0.0008851060628892811
IC36,midlat_S,boxcar,3024,3,0,annual,1008.0,0.0008851060628892813
IC36,midlat_S,boxcar,3024,6,0,annual x2,504.0,0.00028072222470470375
IC36,midlat_S,boxcar,3024,9,0,annual x3,336.0,0.00022431896042484953
IC36,midlat_S,boxcar,3024,12,0,annual x4,252.0,6.35566989201641e-05
IC36,midlat_S,boxcar,3024,15,0,annual x5,201.6,0.00020004578273617016
IC36,midlat_S,boxcar,3024,18,0,annual x6,168.0,9.070041824037175e-05
IC36,midlat_S,boxcar,3024,126,-1,diurnal,24.0,0.000586010059054158
IC36,midlat_S,boxcar,3024,252,-2,diurnal x2,12.0,3.2045819443152557e-08
IC36,midlat_S,boxcar,3024,378,-3,diurnal x3,8.0,8.562172572194547e-09
IC36,midlat_S,boxcar,3024,504,-4,diurnal x4,6.0,2.450029471805285e-10
IC36,midlat_S,hann,3024,-504,4,diurnal x4,6.0,6.68559806356228e-11
IC36,midlat_S,hann,3024,-378,3,diurnal x3,8.0,2.0217047205308773e-10
IC36,midlat_S,hann,3024,-252,2,diurnal x2,12.0,3.3626391047417635e-10
IC36,midlat_S,hann,3024,-126,1,diurnal,24.0,0.0003401994929532409
IC36,midlat_S,hann,3024,-18,0,annual x6,168.0,5.027560287921761e-05
IC36,midlat_S,hann,3024,-15,0,annual x5,201.6,0.00010626975857463424
IC36,midlat_S,hann,3024,-12,0,annual x4,252.0,6.398437586426957e-05
IC36,midlat_S,hann,3024,-9,0,annual x3,336.0,4.13030507019932e-05
IC36,midlat_S,hann,3024,-6,0,annual x2,504.0,0.00026239679519786255
IC36,midlat_S,hann,3024,-3,0,annual,1008.0,0.00012220888759517626
IC36,midlat_S,hann,3024,3,0,annual,1008.0,0.0001222088875951763
IC36,midlat_S,hann,3024,6,0,annual x2,504.0,0.00026239679519786266
IC36,midlat_S,hann,3024,9,0,annual x3,336.0,4.130305070199319e-05
IC36,midlat_S,hann,3024,12,0,annual x4,252.0,6.398437586426959e-05
IC36,midlat_S,hann,3024,15,0,annual x5,201.6,0.00010626975857463425
IC36,midlat_S,hann,3024,18,0,annual x6,168.0,5.0275602879217633e-05
IC36,midlat_S,hann,3024,126,-1,diurnal,24.0,0.00034019949295324096
IC36,midlat_S,hann,3024,252,-2,diurnal x2,12.0,3.3626391047420055e-10
IC36,midlat_S,hann,3024,378,-3,diurnal x3,8.0,2.0217047205308796e-10
IC36,midlat_S,hann,3024,504,-4,diurnal x4,6.0,6.685598063562212e-11
IC36,polar_N,boxcar,3024,-504,4,diurnal x4,6.0,6.597414099573416e-11
IC36,polar_N,boxcar,3024,-378,3,diurnal x3,8.0,1.0560306211301829e-09
IC36,polar_N,boxcar,3024,-252,2,diurnal x2,12.0,1.9407191252888726e-09
IC36,polar_N,boxcar,3024,-126,1,diurnal,24.0,1.635378186493204e-05
IC36,polar_N,boxcar,3024,-18,0,annual x6,168.0,0.00036914740983190665
IC36,polar_N,boxcar,3024,-15,0,annual x5,201.6,0.0010317914585569897
IC36,polar_N,boxcar,3024,-12,0,annual x4,252.0,0.0007410423641242171
IC36,polar_N,boxcar,3024,-9,0,annual x3,336.0,0.0024021360351784123
IC36,polar_N,boxcar,3024,-6,0,annual x2,504.0,0.0058617421045216445
IC36,polar_N,boxcar,3024,-3,0,annual,1008.0,0.02798558420599729
IC36,polar_N,boxcar,3024,3,0,annual,1008.0,0.027985584205997283
IC36,polar_N,boxcar,3024,6,0,annual x2,504.0,0.0058617421045216445
IC36,polar_N,boxcar,3024,9,0,annual x3,336.0,0.0024021360351784123
IC36,polar_N,boxcar,3024,12,0,annual x4,252.0,0.0007410423641242171
IC36,polar_N,boxcar,3024,15,0,annual x5,201.6,0.0010317914585569908
IC36,polar_N,boxcar,3024,18,0,annual x6,168.0,0.00036914740983190654
IC36,polar_N,boxcar,3024,126,-1,diurnal,24.0,1.635378186493203e-05
IC36,polar_N,boxcar,3024,252,-2,diurnal x2,12.0,1.940719125288886e-09
IC36,polar_N,boxcar,3024,378,-3,diurnal x3,8.0,1.0560306211301752e-09
IC36,polar_N,boxcar,3024,504,-4,diurnal x4,6.0,6.597414099573366e-11
IC36,polar_N,hann,3024,-504,4,diurnal x4,6.0,3.434093488046865e-12
IC36,polar_N,hann,3024,-378,3,diurnal x3,8.0,1.8043803058091578e-12
IC36,polar_N,hann,3024,-252,2,diurnal x2,12.0,3.70410741909891e-11
IC36,polar_N,hann,3024,-126,1,diurnal,24.0,2.030668189692051e-05
IC36,polar_N,hann,3024,-18,0,annual x6,168.0,0.0004983228871340224
IC36,polar_N,hann,3024,-15,0,annual x5,201.6,0.0013543889478077275
IC36,polar_N,hann,3024,-12,0,annual x4,252.0,0.0003270170543907444
IC36,polar_N,hann,3024,-9,0,annual x3,336.0,0.0013370172696209345
IC36,polar_N,hann,3024,-6,0,annual x2,504.0,0.006125178632068252
IC36,polar_N,hann,3024,-3,0,annual,1008.0,0.0022884417131498564
IC36,polar_N,hann,3024,3,0,annual,1008.0,0.0022884417131498573
IC36,polar_N,hann,3024,6,0,annual x2,504.0,0.006125178632068253
IC36,polar_N,hann,3024,9,0,annual x3,336.0,0.0013370172696209352
IC36,polar_N,hann,3024,12,0,annual x4,252.0,0.0003270170543907444
IC36,polar_N,hann,3024,15,0,annual x5,201.6,0.0013543889478077281
IC36,polar_N,hann,3024,18,0,annual x6,168.0,0.0004983228871340225
IC36,polar_N,hann,3024,126,-1,diurnal,24.0,2.0306681896920506e-05
IC36,polar_N,hann,3024,252,-2,diurnal x2,12.0,3.704107419098913e-11
IC36,polar_N,hann,3024,378,-3,diurnal x3,8.0,1.8043803058085659e-12
IC36,polar_N,hann,3024,504,-4,diurnal x4,6.0,3.4340934880467987e-12
IC36,polar_S,boxcar,3024,-504,4,diurnal x4,6.0,1.434635617708512e-09
IC36,polar_S,boxcar,3024,-378,3,diurnal x3,8.0,5.259364076760479e-09
IC36,polar_S,boxcar,3024,-252,2,diurnal x2,12.0,7.977320417144329e-08
IC36,polar_S,boxcar,3024,-126,1,diurnal,24.0,0.00026627953724290616
IC36,polar_S,boxcar,3024,-18,0,annual x6,168.0,0.001710623333825244
IC36,polar_S,boxcar,3024,-15,0,annual x5,201.6,0.004263716818930103
IC36,polar_S,boxcar,3024,-12,0,annual x4,252.0,0.0013761275999205863
IC36,polar_S,boxcar,3024,-9,0,annual x3,336.0,0.0018186646273331516
IC36,polar_S,boxcar,3024,-6,0,annual x2,504.0,0.003815353615210516
IC36,polar_S,boxcar,3024,-3,0,annual,1008.0,0.026014995930624087
IC36,polar_S,boxcar,3024,3,0,annual,1008.0,0.026014995930624087
IC36,polar_S,boxcar,3024,6,0,annual x2,504.0,0.0038153536152105163
IC36,polar_S,boxcar,3024,9,0,annual x3,336.0,0.0018186646273331516
IC36,polar_S,boxcar,3024,12,0,annual x4,252.0,0.0013761275999205865
IC36,polar_S,boxcar,3024,15,0,annual x5,201.6,0.004263716818930106
IC36,polar_S,boxcar,3024,18,0,annual x6,168.0,0.001710623333825244
IC36,polar_S,boxcar,3024,126,-1,diurnal,24.0,0.00026627953724290627
IC36,polar_S,boxcar,3024,252,-2,diurnal x2,12.0,7.97732041714434e-08
IC36,polar_S,boxcar,3024,378,-3,diurnal x3,8.0,5.259364076760523e-09
IC36,polar_S,boxcar,3024,504,-4,diurnal x4,6.0,1.4346356177085158e-09
IC36,polar_S,hann,3024,-504,4,diurnal x4,6.0,1.0727649819054051e-10
IC36,polar_S,hann,3024,-378,3,diurnal x3,8.0,1.6976809710484975e-10
IC36,polar_S,hann,3024,-252,2,diurnal x2,12.0,2.906243590539682e-10
IC36,polar_S,hann,3024,-126,1,diurnal,24.0,0.0002965736847237206
IC36,polar_S,hann,3024,-18,0,annual x6,168.0,0.0008247739228701757
IC36,polar_S,hann,3024,-15,0,annual x5,201.6,0.0009967652601634042
IC36,polar_S,hann,3024,-12,0,annual x4,252.0,0.0012905262284680483
IC36,polar_S,hann,3024,-9,0,annual x3,336.0,4.842142878088276e-05
IC36,polar_S,hann,3024,-6,0,annual x2,504.0,0.0042223835121087926
IC36,polar_S,hann,3024,-3,0,annual,1008.0,0.004826234272580696
IC36,polar_S,hann,3024,3,0,annual,1008.0,0.004826234272580698
IC36,polar_S,hann,3024,6,0,annual x2,504.0,0.004222383512108792
IC36,polar_S,hann,3024,9,0,annual x3,336.0,4.8421428780882785e-05
IC36,polar_S,hann,3024,12,0,annual x4,252.0,0.0012905262284680485
IC36,polar_S,hann,3024,15,0,annual x5,201.6,0.0009967652601634049
IC36,polar_S,hann,3024,18,0,annual x6,168.0,0.0008247739228701761
IC36,polar_S,hann,3024,126,-1,diurnal,24.0,0.0002965736847237207
IC36,polar_S,hann,3024,252,-2,diurnal x2,12.0,2.9062435905397867e-10
IC36,polar_S,hann,3024,378,-3,diurnal x3,8.0,1.6976809710485156e-10
IC36,polar_S,hann,3024,504,-4,diurnal x4,6.0,1.072764981905419e-10
IC36,global,boxcar,3024,-504,4,diurnal x4,6.0,2.029178643513784e-09
IC36,global,boxcar,3024,-378,3,diurnal x3,8.0,8.311649047424826e-09
IC36,global,boxcar,3024,-252,2,diurnal x2,12.0,4.901571789305491e-08
IC36,global,boxcar,3024,-126,1,diurnal,24.0,0.0005683231861199164
IC36,global,boxcar,3024,-18,0,annual x6,168.0,0.00047661223142378363
IC36,global,boxcar,3024,-15,0,annual x5,201.6,0.0009126549716839982
IC36,global,boxcar,3024,-12,0,annual x4,252.0,0.0006346333833071521
IC36,global,boxcar,3024,-9,0,annual x3,336.0,0.0025975180006042745
IC36,global,boxcar,3024,-6,0,annual x2,504.0,0.00398261748075966
IC36,global,boxcar,3024,-3,0,annual,1008.0,0.017918357823760844
IC36,global,boxcar,3024,3,0,annual,1008.0,0.017918357823760844
IC36,global,boxcar,3024,6,0,annual x2,504.0,0.00398261748075966
IC36,global,boxcar,3024,9,0,annual x3,336.0,0.0025975180006042745
IC36,global,boxcar,3024,12,0,annual x4,252.0,0.0006346333833071521
IC36,global,boxcar,3024,15,0,annual x5,201.6,0.0009126549716839987
IC36,global,boxcar,3024,18,0,annual x6,168.0,0.0004766122314237838
IC36,global,boxcar,3024,126,-1,diurnal,24.0,0.0005683231861199164
IC36,global,boxcar,3024,252,-2,diurnal x2,12.0,4.901571789305486e-08
IC36,global,boxcar,3024,378,-3,diurnal x3,8.0,8.3116490474248e-09
IC36,global,boxcar,3024,504,-4,diurnal x4,6.0,2.0291786435137714e-09
IC36,global,hann,3024,-504,4,diurnal x4,6.0,7.266179557285589e-11
IC36,global,hann,3024,-378,3,diurnal x3,8.0,1.0899412289730397e-10
IC36,global,hann,3024,-252,2,diurnal x2,12.0,2.583139747006681e-10
IC36,global,hann,3024,-126,1,diurnal,24.0,0.0005470239369341895
IC36,global,hann,3024,-18,0,annual x6,168.0,0.0002348925412793817
IC36,global,hann,3024,-15,0,annual x5,201.6,0.0005637966135281206
IC36,global,hann,3024,-12,0,annual x4,252.0,0.00019694740258058136
IC36,global,hann,3024,-9,0,annual x3,336.0,0.0005735291510644562
IC36,global,hann,3024,-6,0,annual x2,504.0,0.002306358648617801
IC36,global,hann,3024,-3,0,annual,1008.0,0.0012650664648815985
IC36,global,hann,3024,3,0,annual,1008.0,0.001265066464881599
IC36,global,hann,3024,6,0,annual x2,504.0,0.0023063586486178015
IC36,global,hann,3024,9,0,annual x3,336.0,0.0005735291510644567
IC36,global,hann,3024,12,0,annual x4,252.0,0.0001969474025805814
IC36,global,hann,3024,15,0,annual x5,201.6,0.0005637966135281209
IC36,global,hann,3024,18,0,annual x6,168.0,0.00023489254127938175
IC36,global,hann,3024,126,-1,diurnal,24.0,0.0005470239369341897
IC36,global,hann,3024,252,-2,diurnal x2,12.0,2.5831397470067625e-10
IC36,global,hann,3024,378,-3,diurnal x3,8.0,1.0899412289730332e-10
IC36,global,hann,3024,504,-4,diurnal x4,6.0,7.266179557285631e-11
IC37,tropics,boxcar,3024,-504,4,diurnal x4,6.0,6.735688054514284e-10
IC37,tropics,boxcar,3024,-378,3,diurnal x3,8.0,4.992119387877869e-09
IC37,tropics,boxcar,3024,-252,2,diurnal x2,12.0,1.7209412579761777e-08
IC37,tropics,boxcar,3024,-126,1,diurnal,24.0,0.013212553262313586
IC37,tropics,boxcar,3024,-18,0,annual x6,168.0,0.0006954634205299912
IC37,tropics,boxcar,3024,-15,0,annual x5,201.6,0.00118268510898575
IC37,tropics,boxcar,3024,-12,0,annual x4,252.0,0.0017722366154094746
IC37,tropics,boxcar,3024,-9,0,annual x3,336.0,0.0023832555452063618
IC37,tropics,boxcar,3024,-6,0,annual x2,504.0,0.005704920844380894
IC37,tropics,boxcar,3024,-3,0,annual,1008.0,0.020443041490417875
IC37,tropics,boxcar,3024,3,0,annual,1008.0,0.02044304149041788
IC37,tropics,boxcar,3024,6,0,annual x2,504.0,0.0057049208443808955
IC37,tropics,boxcar,3024,9,0,annual x3,336.0,0.002383255545206361
IC37,tropics,boxcar,3024,12,0,annual x4,252.0,0.001772236615409475
IC37,tropics,boxcar,3024,15,0,annual x5,201.6,0.001182685108985751
IC37,tropics,boxcar,3024,18,0,annual x6,168.0,0.0006954634205299914
IC37,tropics,boxcar,3024,126,-1,diurnal,24.0,0.013212553262313588
IC37,tropics,boxcar,3024,252,-2,diurnal x2,12.0,1.7209412579761813e-08
IC37,tropics,boxcar,3024,378,-3,diurnal x3,8.0,4.992119387877873e-09
IC37,tropics,boxcar,3024,504,-4,diurnal x4,6.0,6.735688054514219e-10
IC37,tropics,hann,3024,-504,4,diurnal x4,6.0,1.0274533402956656e-10
IC37,tropics,hann,3024,-378,3,diurnal x3,8.0,2.8452824691959394e-10
IC37,tropics,hann,3024,-252,2,diurnal x2,12.0,3.8556137192458476e-09
IC37,tropics,hann,3024,-126,1,diurnal,24.0,0.016147204040753885
IC37,tropics,hann,3024,-18,0,annual x6,168.0,2.1666128247611243e-05
IC37,tropics,hann,3024,-15,0,annual x5,201.6,9.116108865662557e-05
IC37,tropics,hann,3024,-12,0,annual x4,252.0,5.350217447358113e-05
IC37,tropics,hann,3024,-9,0,annual x3,336.0,3.676668254416987e-05
IC37,tropics,hann,3024,-6,0,annual x2,504.0,8.155457459818586e-05
IC37,tropics,hann,3024,-3,0,annual,1008.0,0.000579799910529308
IC37,tropics,hann,3024,3,0,annual,1008.0,0.0005797999105293087
IC37,tropics,hann,3024,6,0,annual x2,504.0,8.155457459818587e-05
IC37,tropics,hann,3024,9,0,annual x3,336.0,3.676668254416984e-05
IC37,tropics,hann,3024,12,0,annual x4,252.0,5.350217447358115e-05
IC37,tropics,hann,3024,15,0,annual x5,201.6,9.116108865662566e-05
IC37,tropics,hann,3024,18,0,annual x6,168.0,2.1666128247611243e-05
IC37,tropics,hann,3024,126,-1,diurnal,24.0,0.016147204040753888
IC37,tropics,hann,3024,252,-2,diurnal x2,12.0,3.855613719245793e-09
IC37,tropics,hann,3024,378,-3,diurnal x3,8.0,2.8452824691959373e-10
IC37,tropics,hann,3024,504,-4,diurnal x4,6.0,1.0274533402956834e-10
IC37,midlat_N,boxcar,3024,-504,4,diurnal x4,6.0,8.112618231374463e-10
IC37,midlat_N,boxcar,3024,-378,3,diurnal x3,8.0,2.023967549295374e-08
IC37,midlat_N,boxcar,3024,-252,2,diurnal x2,12.0,2.8605943824346225e-08
IC37,midlat_N,boxcar,3024,-126,1,diurnal,24.0,0.0008917898037329398
IC37,midlat_N,boxcar,3024,-18,0,annual x6,168.0,0.0005897292041221002
IC37,midlat_N,boxcar,3024,-15,0,annual x5,201.6,0.001388927724908365
IC37,midlat_N,boxcar,3024,-12,0,annual x4,252.0,0.001279081305166349
IC37,midlat_N,boxcar,3024,-9,0,annual x3,336.0,0.001786666563435903
IC37,midlat_N,boxcar,3024,-6,0,annual x2,504.0,0.0031130802840381297
IC37,midlat_N,boxcar,3024,-3,0,annual,1008.0,0.013121559206750094
IC37,midlat_N,boxcar,3024,3,0,annual,1008.0,0.013121559206750094
IC37,midlat_N,boxcar,3024,6,0,annual x2,504.0,0.0031130802840381305
IC37,midlat_N,boxcar,3024,9,0,annual x3,336.0,0.001786666563435903
IC37,midlat_N,boxcar,3024,12,0,annual x4,252.0,0.0012790813051663493
IC37,midlat_N,boxcar,3024,15,0,annual x5,201.6,0.0013889277249083656
IC37,midlat_N,boxcar,3024,18,0,annual x6,168.0,0.0005897292041221004
IC37,midlat_N,boxcar,3024,126,-1,diurnal,24.0,0.0008917898037329397
IC37,midlat_N,boxcar,3024,252,-2,diurnal x2,12.0,2.860594382434627e-08
IC37,midlat_N,boxcar,3024,378,-3,diurnal x3,8.0,2.023967549295363e-08
IC37,midlat_N,boxcar,3024,504,-4,diurnal x4,6.0,8.112618231374482e-10
IC37,midlat_N,hann,3024,-504,4,diurnal x4,6.0,1.8435008411121923e-10
IC37,midlat_N,hann,3024,-378,3,diurnal x3,8.0,3.100829781841842e-11
IC37,midlat_N,hann,3024,-252,2,diurnal x2,12.0,1.0393148103837284e-09
IC37,midlat_N,hann,3024,-126,1,diurnal,24.0,0.000941402150148609
IC37,midlat_N,hann,3024,-18,0,annual x6,168.0,7.158205133208904e-05
IC37,midlat_N,hann,3024,-15,0,annual x5,201.6,0.0004721903708203165
IC37,midlat_N,hann,3024,-12,0,annual x4,252.0,0.00010468973457472333
IC37,midlat_N,hann,3024,-9,0,annual x3,336.0,0.000360451772215906
IC37,midlat_N,hann,3024,-6,0,annual x2,504.0,0.00025568120837410937
IC37,midlat_N,hann,3024,-3,0,annual,1008.0,0.0019033010622516052
IC37,midlat_N,hann,3024,3,0,annual,1008.0,0.0019033010622516065
IC37,midlat_N,hann,3024,6,0,annual x2,504.0,0.00025568120837410937
IC37,midlat_N,hann,3024,9,0,annual x3,336.0,0.000360451772215906
IC37,midlat_N,hann,3024,12,0,annual x4,252.0,0.00010468973457472334
IC37,midlat_N,hann,3024,15,0,annual x5,201.6,0.00047219037082031666
IC37,midlat_N,hann,3024,18,0,annual x6,168.0,7.15820513320891e-05
IC37,midlat_N,hann,3024,126,-1,diurnal,24.0,0.000941402150148609
IC37,midlat_N,hann,3024,252,-2,diurnal x2,12.0,1.0393148103837842e-09
IC37,midlat_N,hann,3024,378,-3,diurnal x3,8.0,3.1008297818419727e-11
IC37,midlat_N,hann,3024,504,-4,diurnal x4,6.0,1.8435008411122393e-10
IC37,midlat_S,boxcar,3024,-504,4,diurnal x4,6.0,5.722730453600177e-09
IC37,midlat_S,boxcar,3024,-378,3,diurnal x3,8.0,2.8105661854914633e-08
IC37,midlat_S,boxcar,3024,-252,2,diurnal x2,12.0,9.898645468554449e-08
IC37,midlat_S,boxcar,3024,-126,1,diurnal,24.0,0.001407833119009839
IC37,midlat_S,boxcar,3024,-18,0,annual x6,168.0,4.4519427955132423e-05
IC37,midlat_S,boxcar,3024,-15,0,annual x5,201.6,3.832334552914648e-05
IC37,midlat_S,boxcar,3024,-12,0,annual x4,252.0,0.00012475683223638954
IC37,midlat_S,boxcar,3024,-9,0,annual x3,336.0,0.00015295482008430432
IC37,midlat_S,boxcar,3024,-6,0,annual x2,504.0,0.00016826231660952657
IC37,midlat_S,boxcar,3024,-3,0,annual,1008.0,0.0007848514772962772
IC37,midlat_S,boxcar,3024,3,0,annual,1008.0,0.0007848514772962774
IC37,midlat_S,boxcar,3024,6,0,annual x2,504.0,0.0001682623166095267
IC37,midlat_S,boxcar,3024,9,0,annual x3,336.0,0.0001529548200843043
IC37,midlat_S,boxcar,3024,12,0,annual x4,252.0,0.00012475683223638957
IC37,midlat_S,boxcar,3024,15,0,annual x5,201.6,3.832334552914652e-05
IC37,midlat_S,boxcar,3024,18,0,annual x6,168.0,4.4519427955132444e-05
IC37,midlat_S,boxcar,3024,126,-1,diurnal,24.0,0.001407833119009839
IC37,midlat_S,boxcar,3024,252,-2,diurnal x2,12.0,9.898645468554442e-08
IC37,midlat_S,boxcar,3024,378,-3,diurnal x3,8.0,2.8105661854914554e-08
IC37,midlat_S,boxcar,3024,504,-4,diurnal x4,6.0,5.7227304536001476e-09
IC37,midlat_S,hann,3024,-504,4,diurnal x4,6.0,2.5670077670807933e-11
IC37,midlat_S,hann,3024,-378,3,diurnal x3,8.0,3.423226463283152e-11
IC37,midlat_S,hann,3024,-252,2,diurnal x2,12.0,2.3858171204853583e-10
IC37,midlat_S,hann,3024,-126,1,diurnal,24.0,0.0007874410804677028
