n_time,years,annual_share,diurnal_share,forced_share,forced_share_ex_trend,n_forced_cells,chance_share,enrichment,trend_share,top_internal_omega,top_internal_k,top_internal_period,top_internal_share,ic,band,window,n_lat_rows,omega_only_low_share
3024,3.0,0.001734074706714569,0.0015748827579035144,0.003308957464618083,0.0033254705890649002,20,5.1670107034626725e-05,64.0400737393593,0.004965650425872561,5,1,604.8,0.048418235743900896,IC37,midlat_S,hann,15,0.9998882489957895
3024,3.0,0.08427086221541549,9.7822452868998e-05,0.0843686846682845,0.11565903819854165,20,5.1670107034626725e-05,1632.8335571618773,0.2705396311228506,5,0,604.8,0.03953503058304892,IC37,polar_N,boxcar,8,0.9970520665424617
3024,3.0,0.035406045186153444,0.0001383481966120235,0.035544393382765466,0.04688001859152024,20,5.1670107034626725e-05,687.9101945530206,0.24180078313375897,4,0,756.0,0.03207222267553383,IC37,polar_N,hann,8,0.9999667476055563
3024,3.0,0.11040603536524925,0.0012328085777700394,0.11163884394301929,0.1375752348946447,20,5.1670107034626725e-05,2160.6079481934207,0.18852514387118827,5,1,604.8,0.05070048293322271,IC37,polar_S,boxcar,9,0.9980568045520511
3024,3.0,0.024446440196890844,0.0010746826229333043,0.025521122819824146,0.028334599971949204,20,5.1670107034626725e-05,493.9243265496076,0.09929475464309899,5,1,604.8,0.08025578391579001,IC37,polar_S,hann,9,0.9996284460306867
3024,3.0,0.054356751026767396,0.003077516626406154,0.05743426765317355,0.07441984061883089,20,5.1670107034626725e-05,1111.5569707390769,0.22823984604663866,2,0,1512.0,0.02435034331069182,IC37,global,boxcar,64,0.9976902899699677
3024,3.0,0.013023393604932534,0.0030092009652166484,0.016032594570149182,0.018635440628795248,20,5.1670107034626725e-05,310.2876206431107,0.13967182802343725,5,1,604.8,0.028108370052809684,IC37,global,hann,64,0.9997891263104627
3024,3.0,0.09186819245325768,0.015933598190309078,0.10780179064356676,0.16355033104422717,20,5.1670107034626725e-05,2086.3473453098013,0.34086473591780697,2,0,1512.0,0.059269722083812794,IC38,tropics,boxcar,17,0.9941062299039052
3024,3.0,0.0018268702119408574,0.02244121104850813,0.02426808126044899,0.03189155367270452,20,5.1670107034626725e-05,469.67352407816253,0.23904361921320696,22,1,137.45454545454547,0.03780658208723633,IC38,tropics,hann,17,0.9964713449311045
3024,3.0,0.06484149019604715,0.0006053880294214297,0.06544687822546859,0.09885683251741417,20,5.1670107034626725e-05,1266.6294300805175,0.33796302633973463,2,0,1512.0,0.0426604444480436,IC38,midlat_N,boxcar,15,0.997018617148693
3024,3.0,0.003340108221350138,0.0007798519469787361,0.004119960168328874,0.005435137910149438,20,5.1670107034626725e-05,79.73585511576128,0.24197688514299415,15,1,201.6,0.04589514052704007,IC38,midlat_N,hann,15,0.9998530751472495
3024,3.0,0.00552358352947086,0.0018767450063434815,0.007400328535814341,0.007535687985195145,20,5.1670107034626725e-05,143.22262833430963,0.017962454078079622,15,1,201.6,0.14971706256467793,IC38,midlat_S,boxcar,15,0.9988342415806042
3024,3.0,0.0017355560802662013,0.001176972126720904,0.0029125282069871056,0.0029296017707578477,20,5.1670107034626725e-05,56.3677602803353,0.005827946972576296,15,1,201.6,0.12387113306490884,IC38,midlat_S,hann,15,0.9998043114519857
3024,3.0,0.0511109501087063,3.946576248897799e-05,0.05115041587119528,0.09806491081922626,20,5.1670107034626725e-05,989.9421310839714,0.4784024637978163,1,-1,3024.0,0.04100786468756122,IC38,polar_N,boxcar,8,0.9989972973580847
3024,3.0,0.04453651864556952,5.289857585985047e-05,0.04458941722142937,0.07596523104706335,20,5.1670107034626725e-05,862.9635156657943,0.41302861049939377,1,-1,3024.0,0.02572155674927514,IC38,polar_N,hann,8,0.9999838942746467
3024,3.0,0.06877833769979365,0.0006922732047937848,0.06947061090458743,0.084941148449171,20,5.1670107034626725e-05,1344.502941672478,0.1821324272986628,15,1,201.6,0.06158105380955857,IC38,polar_S,boxcar,9,0.996766071374146
3024,3.0,0.021903691612141375,0.0008526225558910805,0.022756314168032456,0.025633923597495743,20,5.1670107034626725e-05,440.4154640667245,0.1122578608974403,15,1,201.6,0.08262815539806477,IC38,polar_S,hann,9,0.9996569991475079
3024,3.0,0.053377618864807234,0.0013899284998906177,0.054767547364697855,0.08339497332545405,20,5.1670107034626725e-05,1059.946466300048,0.34327519776325005,15,1,201.6,0.032391073977530764,IC38,global,boxcar,64,0.9978359164978675
3024,3.0,0.018653862241958388,0.0014543759809227327,0.02010823822288112,0.026816285459705942,20,5.1670107034626725e-05,389.1657938584409,0.25014826333439466,15,1,201.6,0.05182620409086754,IC38,global,hann,64,0.9997515547645266
3024,3.0,0.06939488268855733,0.04529998119401097,0.1146948638825683,0.18494959414087275,20,5.1670107034626725e-05,2219.75278289448,0.3798587965799627,2,0,1512.0,0.042740391719034806,IC39,tropics,boxcar,17,0.9951772380422552
3024,3.0,0.0023736927334598364,0.05678342765555345,0.05915712038901329,0.08215139117665855,20,5.1670107034626725e-05,1144.900287304788,0.27990117341042137,-21,-1,144.0,0.035036572857537786,IC39,tropics,hann,17,0.9974759869637992
3024,3.0,0.06462032139312503,0.0025696894538481366,0.06719001084697317,0.10348095478798122,20,5.1670107034626725e-05,1300.3652344274374,0.35070167274126335,2,0,1512.0,0.030664712364110728,IC39,midlat_N,boxcar,15,0.9978781273724145
3024,3.0,0.0070048974555108855,0.0028168370816590038,0.009821734537169889,0.013041923232765155,20,5.1670107034626725e-05,190.0854304518443,0.24691056971606778,11,1,274.90909090909093,0.018736717976248145,IC39,midlat_N,hann,15,0.999813654663495
3024,3.0,0.0025325091898724442,0.004077460037406014,0.0066099692272784585,0.006639383731263192,20,5.1670107034626725e-05,127.926369938595,0.00443030636205401,4,1,756.0,0.07171936704903675,IC39,midlat_S,boxcar,15,0.9990940329106909
3024,3.0,0.0016491475555627196,0.0030701138628296673,0.004719261418392387,0.004728188121569573,20,5.1670107034626725e-05,91.33446182392798,0.0018879754670638998,4,1,756.0,0.0685997670762349,IC39,midlat_S,hann,15,0.9997871147283454
3024,3.0,0.05685393206021989,3.9243829152823634e-05,0.05689317588937271,0.15322827342884554,20,5.1670107034626725e-05,1101.0849242337692,0.6287031458604007,2,0,1512.0,0.029148943420014294,IC39,polar_N,boxcar,8,0.997563967786815
3024,3.0,0.034564606690230745,5.622366674317786e-05,0.03462083035697392,0.07829071046083849,20,5.1670107034626725e-05,670.0359713552126,0.5577913375266728,2,0,1512.0,0.054747804732365346,IC39,polar_N,hann,8,0.9999866455408999
3024,3.0,0.03586884062818404,0.0017331857648855947,0.037602026393069636,0.03950093737008872,20,5.1670107034626725e-05,727.7326978995928,0.048072554816306665,4,1,756.0,0.06161001587371798,IC39,polar_S,boxcar,9,0.9979301155256746
3024,3.0,0.03104154680264251,0.001860139153211757,0.03290168595585427,0.03398919221315067,20,5.1670107034626725e-05,636.7644242309234,0.03199564880731823,4,1,756.0,0.06394329064212699,IC39,polar_S,hann,9,0.9993601064161917
3024,3.0,0.05231655463608505,0.0025562531122164615,0.05487280774830151,0.10703828830910138,20,5.1670107034626725e-05,1061.9836283971406,0.4873534637452183,2,0,1512.0,0.02673281074449167,IC39,global,boxcar,64,0.9977169356731883
3024,3.0,0.02312667065102365,0.0027953406029005094,0.02592201125392416,0.04259271115004498,20,5.1670107034626725e-05,501.68294090338395,0.3913979515742382,2,0,1512.0,0.036192448838717015,IC39,global,hann,64,0.9998329120213123
